enemy_distance,enemy_bearing,enemy_velocity,my_energy,enemy_energy,wall_distance,wall_bearing,turn_rate,move_distance,fire_power
162.2415348950511,59.29791796921954,-1.0,100.0,100.0,215.05649689159418,-167.6123267209357,149.29791796921955,60.0,3.0
593.3044737033501,67.02952572422475,-0.04413510205497226,100.0,100.0,215.05649689159418,-167.6123267209357,157.02952572422475,-60.0,1.0
629.4413273088095,59.019839813523284,-1.0,100.0,100.0,215.05649689159418,-167.6123267209357,149.01983981352328,-60.0,1.0
159.53593863608165,39.01038226283488,-3.0,100.0,100.0,212.07169283535757,173.1376732790643,129.01038226283487,-60.0,3.0
595.3422186373731,47.55031453993678,-0.09056377052814665,100.0,100.0,212.07169283535757,173.1376732790643,137.55031453993678,-60.0,1.0
626.9244618785247,39.436969696586296,-3.0,100.0,100.0,212.07169283535757,173.1376732790643,129.4369696965863,-60.0,1.0
158.4386578434852,29.419342329068122,-4.0,100.0,100.0,209.17888342033928,164.63767327906436,119.41934232906812,60.0,3.0
626.0538813524635,30.611174460130176,-4.0,100.0,100.0,209.17888342033928,164.63767327906436,120.61117446013017,60.0,1.0
155.06526407007152,20.608579422575204,-5.0,100.0,100.0,208.25914635244385,156.88767327906436,110.6085794225752,60.0,3.0
623.0242717521844,22.544781730180823,-5.0,100.0,100.0,208.25914635244385,156.88767327906436,112.54478173018083,60.0,1.0
149.84592383401161,10.0049081499884,-6.0,100.0,100.0,208.68148638308026,147.63767327906436,100.0049081499884,60.0,3.0
618.2483511560008,12.917896202202861,-6.0,100.0,100.0,208.68148638308026,147.63767327906436,102.91789620220285,60.0,1.0
145.50402678145036,-0.7140184559668292,-4.0,100.0,100.0,209.79642560197226,138.01267327906436,89.28598154403318,60.0,3.0
612.2797064794829,2.798718898909329,-7.0,100.0,100.0,209.79642560197226,138.01267327906436,92.79871889890933,60.0,1.0
141.56743747140524,-10.537696925389413,-2.4367887567964894,100.0,100.0,211.3743904500667,129.13767327906442,79.46230307461059,60.0,3.0
605.2786686307222,-6.7239707003965234,-8.0,100.0,100.0,211.3743904500667,129.13767327906442,83.27602929960348,60.0,1.0
136.99571607274504,-20.12888667329777,-2.716868689688356,100.0,100.0,213.1776872584129,121.01267327906442,69.87111332670223,60.0,3.0
597.0083470915292,-15.539684480960041,-8.0,100.0,100.0,213.1776872584129,121.01267327906442,74.46031551903997,60.0,1.0
131.90206235676666,-29.93229973966504,-3.716868689688356,100.0,100.0,214.98196889736016,113.63767327906442,60.06770026033496,60.0,3.0
587.6286278111204,-23.67103424924844,-8.0,100.0,100.0,214.98196889736016,113.63767327906442,66.32896575075156,-60.0,1.0
129.258731225342,-39.28032492293484,-4.716868689688356,100.0,100.0,215.71342695497265,107.01267327906436,50.71967507706516,-60.0,3.0
579.8944575209165,-30.983455834444783,-8.0,100.0,100.0,215.71342695497265,107.01267327906436,59.01654416555522,-60.0,1.0
128.6540526489172,-50.10970462999724,-5.716868689688356,100.0,100.0,215.7906758705683,98.88767327906436,39.89029537000276,-60.0,3.0
573.5974947132484,-39.67557135916446,-8.0,100.0,100.0,215.7906758705683,98.88767327906436,50.32442864083554,-60.0,1.0
567.8563261031187,-49.74738048874691,-8.0,100.0,100.0,215.80032718838538,89.26267327906442,40.25261951125309,-60.0,1.0
562.2161532188504,-59.500512490982516,-8.0,100.0,100.0,216.1094687315899,79.82517327906442,30.499487509017484,-60.0,1.0
556.4130494982368,-68.35450546133151,-8.0,100.0,100.0,216.99853073939732,71.13767327906442,21.645494538668487,-60.0,1.0
550.2109377334323,-76.2983582322266,-8.0,100.0,100.0,218.6893113940804,63.200173279064416,13.701641767773395,-60.0,1.0
543.4204078235555,-83.32580913131326,-8.0,100.0,100.0,221.34460658843955,56.012673279064416,6.674190868686736,-60.0,1.0
535.9086142722356,-89.4330646752258,-8.0,100.0,100.0,225.07319305842464,49.575173279064416,0.5669353247742066,-60.0,1.0
528.2053882386559,-89.49384199385445,-8.0,100.0,100.0,223.3787703942666,139.00823795429022,0.5061580061455544,-60.0,1.0
125.9803294343922,-100.58788982354214,-0.6721746479687134,100.0,100.0,217.5741771404115,138.50207994814465,-10.587889823542142,-60.0,3.0
520.3795964465754,-89.30859233432709,-8.0,100.0,100.0,217.5741771404115,138.50207994814465,0.6914076656729122,60.0,1.0
125.9975349820865,-101.08681980806283,0.42359272045784513,99.4,100.0,217.5741771404115,137.81067228247173,-11.086819808062828,-60.0,3.0
514.5573391689943,-90.16050622221124,-6.0,99.4,100.0,217.5741771404115,137.81067228247173,-0.16050622221123945,-60.0,1.0
125.989198327393,-101.44523780032448,-0.7882036397710774,98.20000000000002,100.0,217.5741771404115,137.81067228247173,-11.445237800324477,-60.0,3.0
510.7899620871587,-90.31073327103374,-4.0,98.20000000000002,100.0,217.5741771404115,137.81067228247173,-0.31073327103374027,-60.0,1.0
509.00419567669496,-90.411928845425,-2.0,97.60000000000002,100.0,217.5741771404115,137.81067228247173,-0.4119288454249954,-60.0,1.0
509.00419567669496,-90.411928845425,0.0,97.00000000000003,100.0,217.5741771404115,137.81067228247173,-0.4119288454249954,-60.0,1.0
509.7079270705392,-90.33201083330256,1.0,96.40000000000003,100.0,217.5741771404115,137.81067228247173,-0.33201083330256154,-60.0,1.0
652.4289026212398,-87.7054711951301,-8.0,96.40000000000003,100.0,217.5741771404115,137.81067228247173,2.2945288048698984,-60.0,1.0
511.0567275781345,-90.16623195369725,2.0,95.80000000000004,100.0,217.5741771404115,137.81067228247173,-0.16623195369724897,-60.0,1.0
655.0076507854625,-88.36921764135444,-8.0,95.80000000000004,100.0,217.5741771404115,137.81067228247173,1.6307823586455612,60.0,1.0
513.0874618557965,-90.03086991863302,3.0,95.80000000000004,100.0,218.3151068428679,137.81067228247173,-0.030869918633015914,60.0,1.0
657.6573966525353,-89.1147792245826,-8.0,95.80000000000004,100.0,218.3151068428679,137.81067228247173,0.8852207754173946,60.0,1.0
515.8291297881163,-90.81129960032703,4.0,95.80000000000004,100.0,219.77603828964618,136.92545150705433,-0.8112996003270325,60.0,1.0
660.1289564018424,-90.649785606061,-6.0,95.80000000000004,100.0,219.77603828964618,136.92545150705433,-0.6497856060610019,60.0,1.0
518.7585401824216,-90.04456378685478,5.0,94.80000000000004,100.0,221.99052981649214,137.57523711311535,-0.044563786854780574,-60.0,1.0
662.0675744078861,-90.56394285927601,-4.0,94.80000000000004,100.0,221.99052981649214,137.57523711311535,-0.5639428592760112,-60.0,1.0
521.7299457125922,-89.01749462836572,6.0,94.80000000000004,97.0,222.73529786560118,138.13917997239136,0.9825053716342751,-60.0,1.0
663.0438051505305,-90.23752763133471,-2.0,94.80000000000004,98.0,222.73529786560118,138.13917997239136,-0.23752763133471433,-60.0,1.0
524.6951184637941,-88.0301316955468,7.0,94.80000000000004,97.0,222.36153380387609,138.37670760372606,1.9698683044532004,-60.0,1.0
663.0439936750008,-89.95679337608816,0.0,94.80000000000004,98.0,222.36153380387609,138.37670760372606,0.04320662391184271,-60.0,1.0
662.5600129865696,-89.7948157620558,1.0,94.80000000000004,98.0,221.24099327924722,138.33350097981423,0.20518423794419505,60.0,1.0
661.591509446004,-89.87018928965693,2.0,94.80000000000004,98.0,221.4271536571912,138.12831674187004,0.12981071034306524,60.0,1.0
660.1435899116465,-89.88051514142546,3.0,94.80000000000004,98.0,222.3560628795235,137.99850603152697,0.11948485857453761,60.0,1.0
658.2196231375774,-89.89064828364768,4.0,94.80000000000004,98.0,224.02495608782928,137.87902117295243,0.10935171635232166,60.0,1.0
655.8225216190235,-89.90063230224867,5.0,94.80000000000004,98.0,226.4314150298065,137.76966945660013,0.09936769775133314,60.0,1.0
652.9547478534347,-89.91050980484349,6.0,94.80000000000004,98.0,223.67791713229576,47.67030175884879,0.08949019515651457,60.0,1.0
651.3301706809497,-90.14036376508403,4.0,94.80000000000004,98.0,220.1365314199943,47.58081156369227,-0.14036376508403237,-60.0,1.0
650.5139914186371,-90.12549449735006,2.0,94.80000000000004,98.0,217.95012929533686,47.721175328776305,-0.12549449735006135,-60.0,1.0
650.5151923909285,-90.1100969958943,-0.0,94.80000000000004,98.0,217.11123310783466,47.846669826126366,-0.11009699589429545,-60.0,1.0
650.9280317899637,-90.04717115842222,-1.0,94.80000000000004,82.0,217.3623672943885,47.95676682202066,-0.04717115842221631,-60.0,1.0
651.7549216701366,-90.03921908043475,-2.0,93.80000000000004,82.0,218.28235164524563,48.00393798044288,-0.039219080434747866,-60.0,1.0
652.9969939723063,-90.03122255948898,-3.0,93.80000000000004,82.0,219.87020695212811,48.04315706087762,-0.031222559488981005,-60.0,1.0
654.6549987595209,-90.02321216597421,-4.0,93.80000000000004,80.0,222.125264890351,48.07437962036661,-0.023212165974214827,-60.0,1.0
656.7293040310881,-90.01521838207692,-5.0,93.80000000000004,80.0,225.04716918698819,48.09759178634082,-0.015218382076923831,60.0,1.0
657.6702336238749,-90.04126659972088,-3.0,93.80000000000004,80.0,226.1784467556061,138.11281016841775,-0.041266599720884756,60.0,1.0
657.8538956961027,-90.05295741195125,-1.0,93.80000000000004,80.0,225.89909368306385,138.15407676813862,-0.052957411951254585,60.0,1.0
657.9077124824825,-90.2448856037629,-2.0,93.80000000000004,80.0,226.34156663084366,48.207034180089885,-0.2448856037628957,60.0,1.0
657.5655138200558,-90.4174469280649,-3.0,93.80000000000004,80.0,225.13942907426065,48.45191978385277,-0.4174469280649049,-60.0,1.0
656.593971696243,-90.33017757381062,-4.0,93.80000000000004,80.0,225.20109576605398,48.869366711917685,-0.33017757381061585,-60.0,1.0
654.8210520113148,-90.31304038282181,-5.0,93.80000000000004,80.0,225.91578113702963,49.1995442857283,-0.3130403828218107,-60.0,1.0
652.1216267851148,-90.28647908345778,-6.0,93.80000000000004,80.0,225.37036346775045,139.51258466855012,-0.2864790834577775,-60.0,1.0
648.7460509309511,-90.26801605846488,-7.0,93.80000000000004,80.0,223.0074021347921,139.7990637520079,-0.2680160584648803,-60.0,1.0
644.9195905298272,-90.26014413137727,-8.0,93.80000000000004,80.0,219.868329084706,140.06707981047276,-0.2601441313772739,-60.0,1.0
641.1570471505038,-90.62906144841283,-8.0,92.20000000000005,80.0,219.868329084706,140.32722394185004,-0.629061448412827,-60.0,1.0
637.4513965699458,-91.17561113128319,-8.0,92.20000000000005,80.0,219.09862610764142,140.32722394185004,-1.1756111312831905,-60.0,1.0
633.8353771752422,-90.64324454709931,-8.0,91.60000000000005,80.0,219.09862610764142,141.50283507313324,-0.6432445470993144,60.0,1.0
630.3235286253688,-91.38466337618264,-8.0,91.60000000000005,80.0,219.88126506640702,141.50283507313324,-1.384663376182644,60.0,1.0
626.9081214113311,-90.84104160560982,-8.0,91.60000000000005,80.0,221.47616965430035,142.88749844931587,-0.8410416056098171,60.0,1.0
623.6155457094436,-90.94199682519526,-8.0,91.60000000000005,78.0,223.89483887818957,143.7285400549257,-0.9419968251952611,60.0,1.0
620.4614091462222,-91.04418053818374,-8.0,91.60000000000005,78.0,226.62109342444705,54.670536880120956,-1.0441805381837383,60.0,1.0
617.4617576007338,-91.14745951627356,-8.0,91.60000000000005,78.0,223.8045242613357,55.7147174183047,-1.1474595162735568,-60.0,1.0
614.5748454634119,-90.97205622636726,-8.0,91.60000000000005,78.0,222.1645597079605,56.86217693457825,-0.9720562263672576,-60.0,1.0
611.7846110417719,-90.79378829946116,-8.0,91.60000000000005,78.0,221.63218911162755,57.83423316094551,-0.7937882994611556,-60.0,1.0
609.0798926744774,-90.65984353367956,-8.0,91.60000000000005,78.0,221.8924851747464,58.62802146040666,-0.6598435336795632,-60.0,1.0
606.4516343728558,-90.57116055809949,-8.0,91.60000000000005,78.0,222.65857270409538,59.28786499408622,-0.5711605580994927,-60.0,1.0
604.2557335821477,-90.2921082064129,-6.0,91.60000000000005,78.0,223.91389598511182,59.85902555218571,-0.29210820641290525,60.0,1.0
602.8141932014075,-90.30680079446584,-4.0,90.60000000000005,78.0,224.16275292372006,60.15113375859862,-0.3068007944658433,60.0,1.0
602.1047838093132,-90.24910726061759,-2.0,90.60000000000005,78.0,223.79295610455267,60.45793455306446,-0.24910726061759192,60.0,1.0
602.1073269659321,-90.16652804379937,0.0,90.60000000000005,84.0,222.93672438508372,60.70704181368205,-0.16652804379937436,60.0,1.0
602.4608226013974,-90.17247290177859,1.0,90.60000000000005,84.0,221.59819380245563,60.87356985748143,-0.17247290177859043,60.0,1.0
603.1596278889991,-90.17810885163907,2.0,90.60000000000005,84.0,219.78279397235815,61.04604275926002,-0.17810885163906676,60.0,1.0
604.1978124059463,-90.18342186252595,3.0,90.60000000000005,84.0,217.49621880373593,61.22415161089909,-0.18342186252594672,60.0,1.0
605.5691782155852,-90.18840042656304,4.0,90.60000000000005,82.0,214.74440795274643,61.40757347342504,-0.18840042656303524,60.0,1.0
607.2672810125899,-90.19303558546615,5.0,90.60000000000005,82.0,211.53352732004998,61.59597389998807,-0.19303558546614852,60.0,1.0
609.2854520939401,-90.19732091749246,6.0,77.60000000000005,82.0,207.8699488050372,61.789009485454216,-0.19732091749246194,60.0,1.0
611.6146463760331,-90.13099324709353,7.0,77.60000000000005,82.0,204.11249118426338,61.98633040294668,-0.130993247093528,60.0,1.0
614.8740865968163,-90.06466281903255,8.0,77.60000000000005,82.0,200.3711905270153,62.117323650040206,-0.06466281903254867,-60.0,1.0
617.6089344864267,-89.85910977365386,8.0,77.60000000000005,82.0,197.57120217403497,62.181986469072754,0.14089022634614423,-60.0,1.0
620.8864793164585,-89.69531350192094,8.0,77.60000000000005,82.0,195.6958496344539,62.04109624272661,0.30468649807906445,-60.0,1.0
624.7143903105975,-89.5381384574747,8.0,76.60000000000005,82.0,194.7487924414853,61.736409744647545,0.4618615425252983,-60.0,1.0
335.2826646443938,-86.2480967581275,0.0,76.60000000000005,94.40000000000003,194.7487924414853,61.27454820212225,3.7519032418724976,-60.0,2.0
